neuron_id,neuron_type,partner_id,connection_type
720575940630610042,DNp32,720575940633987155,upstream
720575940630610042,DNp32,720575940640278387,upstream
720575940630610042,DNp32,720575940629798082,upstream
720575940630610042,DNp32,720575940611344078,upstream
720575940630610042,DNp32,720575940631704716,upstream
720575940630610042,DNp32,720575940617936641,upstream
720575940630610042,DNp32,720575940631317329,upstream
720575940630610042,DNp32,720575940614099142,upstream
720575940630610042,DNp32,720575940631183378,upstream
720575940630610042,DNp32,720575940631095289,upstream
720575940630610042,DNp32,720575940631065144,upstream
720575940630610042,DNp32,720575940622804263,upstream
720575940630610042,DNp32,720575940608589323,upstream
720575940630610042,DNp32,720575940630674038,upstream
720575940630610042,DNp32,720575940605842656,upstream
720575940630610042,DNp32,720575940630273910,upstream
720575940630610042,DNp32,720575940622520140,upstream
720575940630610042,DNp32,720575940630161980,upstream
720575940630610042,DNp32,720575940617443001,upstream
720575940630610042,DNp32,720575940630012716,upstream
720575940630610042,DNp32,720575940629908540,upstream
720575940630610042,DNp32,720575940629843767,upstream
720575940630610042,DNp32,720575940611373262,upstream
720575940630610042,DNp32,720575940623411277,upstream
720575940630610042,DNp32,720575940606324402,upstream
720575940630610042,DNp32,720575940618409797,upstream
720575940630610042,DNp32,720575940639827765,upstream
720575940630610042,DNp32,720575940614574994,upstream
720575940630610042,DNp32,720575940618802811,upstream
720575940630610042,DNp32,720575940618723067,upstream
720575940630610042,DNp32,720575940618720635,upstream
720575940630610042,DNp32,720575940624326448,upstream
720575940630610042,DNp32,720575940634603930,upstream
720575940630610042,DNp32,720575940606411698,upstream
720575940630610042,DNp32,720575940633743796,upstream
720575940630610042,DNp32,720575940632376899,upstream
720575940630610042,DNp32,720575940611469518,upstream
720575940630610042,DNp32,720575940618326511,upstream
720575940630610042,DNp32,720575940623865232,upstream
720575940630610042,DNp32,720575940605030316,upstream
720575940630610042,DNp32,720575940633009343,upstream
720575940630610042,DNp32,720575940618182892,upstream
720575940630610042,DNp32,720575940632613549,upstream
720575940630610042,DNp32,720575940632403986,upstream
720575940630610042,DNp32,720575940629837563,upstream
720575940630610042,DNp32,720575940633926295,upstream
720575940630610042,DNp32,720575940617280657,upstream
720575940630610042,DNp32,720575940637258842,upstream
720575940630610042,DNp32,720575940616094523,upstream
720575940630610042,DNp32,720575940604173983,upstream
720575940630610042,DNp32,720575940626745193,upstream
720575940630610042,DNp32,720575940641977229,upstream
720575940630610042,DNp32,720575940611603418,upstream
720575940630610042,DNp32,720575940609191177,upstream
720575940630610042,DNp32,720575940618932763,upstream
720575940630610042,DNp32,720575940614956072,upstream
720575940630610042,DNp32,720575940624911548,upstream
720575940630610042,DNp32,720575940627447939,upstream
720575940630610042,DNp32,720575940615184863,upstream
720575940630610042,DNp32,720575940637878854,upstream
720575940630610042,DNp32,720575940638078527,upstream
720575940630610042,DNp32,720575940638699069,upstream
720575940630610042,DNp32,720575940638832035,upstream
