root_id,partner_neuron_id,synapse_count,partner_cell_type,partner_brain_side,connection_type
720575940613891442,720575940635637422,5,LAL059,left,downstream
720575940613891442,720575940626159379,5,LAL133,right,downstream
720575940613891442,720575940623374058,5,PS002,left,downstream
720575940613891442,720575940632736815,5,PS301,right,downstream
720575940613891442,720575940615584162,5,MC66,right,downstream
720575940613891442,720575940623443179,5,LAL120,right,downstream
720575940613891442,720575940642193549,5,LAL030_b,left,downstream
720575940613891442,720575940625447994,5,VES007,right,downstream
720575940613891442,720575940617297947,5,unknown,right,downstream
720575940613891442,720575940625503321,5,unknown,left,downstream
720575940613891442,720575940614603403,5,unknown,right,downstream
720575940613891442,720575940615036319,5,unknown,right,downstream
720575940613891442,720575940610097618,5,unknown,right,downstream
720575940613891442,720575940635540671,5,LAL072,right,downstream
720575940613891442,720575940621415382,5,LC9,right,downstream
720575940613891442,720575940625031403,5,LAL155,right,downstream
720575940613891442,720575940617013554,5,PS196,right,downstream
720575940613891442,720575940624273508,5,LC9,right,downstream
720575940613891442,720575940622517956,5,"LAL125,LAL108",right,downstream
720575940613891442,720575940625653223,5,ExR2,right,downstream
720575940613891442,720575940621065301,5,unknown,left,downstream
720575940613891442,720575940622219190,5,SMP544,right,downstream
720575940613891442,720575940611346917,5,unknown,left,downstream
720575940613891442,720575940633668020,5,unknown,left,downstream
720575940613891442,720575940616807897,5,"LAL074,LAL084",left,downstream
720575940613891442,720575940625259056,5,LCNOp,left,downstream
720575940613891442,720575940626125331,5,"LAL125,LAL108",left,downstream
720575940613891442,720575940625044784,5,LAL155,right,downstream
720575940613891442,720575940622633716,5,unknown,left,downstream
720575940613891442,720575940615778790,5,"VES051,VES052",right,downstream
720575940613891442,720575940631733587,5,PS196,left,downstream
720575940613891442,720575940613144616,5,LAL120,right,downstream
720575940613891442,720575940613870242,5,VES045,right,downstream
720575940613891442,720575940644843118,5,LC9,left,downstream
720575940613891442,720575940611177946,5,unknown,left,downstream
720575940613891442,720575940605948076,5,PS098,left,downstream
720575940613891442,720575940615651670,5,"LAL171,LAL172",left,downstream
720575940613891442,720575940615723314,5,PVLP076,right,downstream
720575940613891442,720575940616629051,5,CL289,right,downstream
720575940613891442,720575940634654053,5,"CL328,IB070,IB071",right,downstream
720575940613891442,720575940624154648,5,LAL012,right,downstream
720575940613891442,720575940606920643,5,unknown,left,downstream
720575940613891442,720575940634676916,5,unknown,right,downstream
720575940613891442,720575940623817223,5,VES047,right,downstream
720575940613891442,720575940611638258,5,LAL073,left,downstream
720575940613891442,720575940633655452,5,LNOa,left,downstream
720575940613891442,720575940620686964,5,LAL018,right,downstream
720575940613891442,720575940647228468,5,unknown,right,downstream
720575940613891442,720575940621768436,5,LAL124,left,downstream
720575940613891442,720575940620656731,5,PS106,left,downstream
720575940613891442,720575940627617944,5,PS099,left,downstream
720575940613891442,720575940634288595,5,"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",right,downstream
720575940613891442,720575940619960325,5,unknown,right,downstream
720575940613891442,720575940620678772,5,LAL016,right,downstream
720575940613891442,720575940622364598,5,LT51,right,downstream
720575940613891442,720575940615999489,5,"LAL125,LAL108",left,downstream
720575940613891442,720575940615779558,5,"VES051,VES052",right,downstream
720575940613891442,720575940629327659,5,DNa02,left,downstream
720575940613891442,720575940631283512,5,unknown,right,downstream
720575940613891442,720575940624905223,5,PS173,left,downstream
