root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940514311998,,,,,,,,,,0,0,3
720575940622539411,acetylcholine,intrinsic,central,,,SMP180,DL2_dorsal,,right,1068,4589,3
720575940622547208,acetylcholine,intrinsic,central,,,CB2310,DL1_dorsal,,right,457,1042,3
720575940612857878,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,513,514,3
720575940613678263,,,,,,,,,,0,0,3
720575940622389640,acetylcholine,intrinsic,central,,,LAL196,putative_primary,,left,957,1798,3
720575940627644584,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,right,765,330,3
720575940623225848,,,,,,,,,,0,0,3
720575940379971963,,,,,,,,,,0,0,3
720575940613583001,gaba,intrinsic,central,MBIN,,APL,putative_primary,,right,66711,93696,3
720575940615921803,serotonin,intrinsic,central,CX,tangential,"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",LALv1_dorsal,,right,509,430,3
720575940404950967,,,,,,,,,,0,0,3
720575940611961163,,,,,,,,,,0,0,3
720575940612325147,,,,,,,,,,0,0,3
720575940628734376,glutamate,intrinsic,central,MBON,,MBON04,putative_primary,,right,8261,16092,3
720575940572455272,,,,,,,,,,0,0,3
720575940612933620,,,,,,,,,,0,0,3
720575940564584058,,,,,,,,,,0,0,3
720575940600965308,,,,,,,,,,0,0,3
720575940572456040,,,,,,,,,,0,0,3
720575940499016047,,,,,,,,,,0,0,3
720575940602941648,,,,,,,,,,0,0,3
720575940612354115,,,,,,,,,,0,0,3
720575940397379896,,,,,,,,,,0,0,3
720575940628572815,glutamate,intrinsic,central,,,SMP075,putative_primary,,left,850,3115,3
720575940490433464,,,,,,,,,,0,0,3
720575940600659832,,,,,,,,,,0,0,3
720575940620324079,glutamate,intrinsic,central,,,SMP115,SMPad3,,left,3295,5668,3
720575940628455942,acetylcholine,intrinsic,central,,,CRE011,putative_primary,,right,12311,18837,3
720575940618521385,,,,,,,,,,0,0,3
720575940575740121,,,,,,,,,,0,0,3
720575940397307448,,,,,,,,,,0,0,3
720575940636318350,acetylcholine,intrinsic,central,,,CB1357,DL1_dorsal,,right,225,948,3
720575940628238023,acetylcholine,intrinsic,central,,,LAL011,putative_primary,,left,2657,3408,3
720575940607249365,acetylcholine,intrinsic,central,,,CRE080,DM1_antero_dorsal,,right,500,2652,3
720575940596307622,,,,,,,,,,0,0,3
720575940379918715,,,,,,,,,,0,0,3
720575940607907849,acetylcholine,intrinsic,central,,,CRE065,CREl1,,right,123,735,3
720575940452623012,,,,,,,,,,0,0,2
720575940452641700,,,,,,,,,,0,0,2
720575940606934036,,,,,,,,,,0,0,2
720575940606932244,,,,,,,,,,0,0,2
720575940606931732,,,,,,,,,,0,0,2
720575940595752181,,,,,,,,,,0,0,2
720575940617726542,,,,,,,,,,0,0,2
720575940617726030,,,,,,,,,,0,0,2
720575940617725262,,,,,,,,,,0,0,2
720575940617723982,,,,,,,,,,0,0,2
720575940421858328,,,,,,,,,,0,0,2
720575940606892674,dopamine,intrinsic,central,Kenyon_Cell,,KCg-s2,MBp4,,right,384,864,2
720575940595750133,,,,,,,,,,0,0,2
720575940606795038,,,,,,,,,,0,0,2
720575940585277497,,,,,,,,,,0,0,2
720575940585265977,,,,,,,,,,0,0,2
720575940606445396,,,,,,,,,,0,0,2
720575940448308806,,,,,,,,,,0,0,2
720575940585261113,,,,,,,,,,0,0,2
720575940594792007,,,,,,,,,,0,0,2
720575940381196046,,,,,,,,,,0,0,2
720575940585866471,,,,,,,,,,0,0,2
720575940575894632,,,,,,,,,,0,0,2
720575940404940983,,,,,,,,,,0,0,2
720575940575895656,,,,,,,,,,0,0,2
720575940382433022,,,,,,,,,,0,0,2
720575940433385665,,,,,,,,,,0,0,2
720575940408633702,,,,,,,,,,0,0,2
720575940607808412,,,,,,,,,,0,0,2
720575940607808156,,,,,,,,,,0,0,2
720575940607807388,,,,,,,,,,0,0,2
720575940607805852,,,,,,,,,,0,0,2
720575940607805596,,,,,,,,,,0,0,2
720575940596102310,,,,,,,,,,0,0,2
720575940433374657,,,,,,,,,,0,0,2
720575940617897294,,,,,,,,,,0,0,2
720575940409041309,,,,,,,,,,0,0,2
720575940441845846,,,,,,,,,,0,0,2
720575940607166484,,,,,,,,,,0,0,2
720575940536743217,,,,,,,,,,0,0,2
720575940617889358,,,,,,,,,,0,0,2
720575940585872103,,,,,,,,,,0,0,2
720575940607156756,,,,,,,,,,0,0,2
720575940490419640,,,,,,,,,,0,0,2
720575940607151124,,,,,,,,,,0,0,2
720575940479148022,,,,,,,,,,0,0,2
720575940433368257,,,,,,,,,,0,0,2
720575940575791411,,,,,,,,,,0,0,2
720575940397393208,,,,,,,,,,0,0,2
720575940616694862,,,,,,,,,,0,0,2
